Sample in Buffer,Sample in Window,TRIGGER,u_ndpp_wrapper/user_logic_native_mem_valid[0:0],u_ndpp_wrapper/user_logic_native_mem_address[23:0],u_ndpp_wrapper/user_logic_native_mem_strb[31:0],u_ndpp_wrapper/user_logic_native_mem_data[7:0],u_ndpp_wrapper/trigger_counter[7:0],u_ndpp_wrapper/trigger_counter_hls[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX
420,420,0,0,300060,00000000,c9,00,01
421,421,0,0,300060,00000000,c9,00,01
422,422,0,0,300060,00000000,c9,00,01
423,423,0,0,300060,00000000,c9,00,01
424,424,0,0,300060,00000000,c9,00,01
425,425,0,0,300060,00000000,c9,00,01
426,426,0,0,300060,00000000,c9,00,01
427,427,0,0,300060,00000000,c9,00,01
428,428,0,0,300060,00000000,c9,00,01
429,429,0,0,300060,00000000,c9,00,01
430,430,0,0,300060,00000000,c9,00,01
431,431,0,0,300060,00000000,c9,00,01
432,432,0,0,300060,00000000,c9,00,01
433,433,0,0,300060,00000000,c9,00,01
434,434,0,0,300060,00000000,c9,00,01
435,435,0,0,300060,00000000,c9,00,01
436,436,0,0,300060,00000000,c9,00,01
437,437,0,0,300060,00000000,c9,00,01
438,438,0,0,300060,00000000,c9,00,01
439,439,0,0,300060,00000000,c9,00,01
440,440,0,0,300060,00000000,c9,00,01
441,441,0,0,300060,00000000,c9,00,01
442,442,0,0,300060,00000000,c9,00,01
443,443,0,0,300060,00000000,c9,00,01
444,444,0,0,300060,00000000,c9,00,01
445,445,0,0,300060,00000000,c9,00,01
446,446,0,0,300060,00000000,c9,00,01
447,447,0,0,300060,00000000,c9,00,01
448,448,0,0,300060,00000000,c9,00,01
449,449,0,0,300060,00000000,c9,00,01
450,450,0,0,300060,00000000,c9,00,01
451,451,0,0,300060,00000000,c9,00,01
452,452,0,0,300060,00000000,c9,00,01
453,453,0,0,300060,00000000,c9,00,01
454,454,0,0,300060,00000000,c9,00,01
455,455,0,0,300060,00000000,c9,00,01
456,456,0,0,300060,00000000,c9,00,01
457,457,0,0,300060,00000000,c9,00,01
458,458,0,0,300060,00000000,c9,00,01
459,459,0,0,300060,00000000,c9,00,01
460,460,0,0,300060,00000000,c9,00,01
461,461,0,0,300060,00000000,c9,00,01
462,462,0,0,300060,00000000,c9,00,01
463,463,0,0,300060,00000000,c9,00,01
464,464,0,0,300060,00000000,c9,00,01
465,465,0,0,300060,00000000,c9,00,01
466,466,0,0,300060,00000000,c9,00,01
467,467,0,0,300060,00000000,c9,00,01
468,468,0,0,300060,00000000,c9,00,01
469,469,0,0,300060,00000000,c9,00,01
470,470,0,0,300060,00000000,c9,00,01
471,471,0,0,300060,00000000,c9,00,01
472,472,0,0,300060,00000000,c9,00,01
473,473,0,0,300060,00000000,c9,00,01
474,474,0,0,300060,00000000,c9,00,01
475,475,0,0,300060,00000000,c9,00,01
476,476,0,0,300060,00000000,c9,00,01
477,477,0,0,300060,00000000,c9,00,01
478,478,0,0,300060,00000000,c9,00,01
479,479,0,0,300060,00000000,c9,00,01
480,480,0,0,300060,00000000,c9,00,01
481,481,0,0,300060,00000000,c9,00,01
482,482,0,0,300060,00000000,c9,00,01
483,483,0,0,300060,00000000,c9,00,01
484,484,0,0,300060,00000000,c9,00,01
485,485,0,0,300060,00000000,c9,00,01
486,486,0,0,300060,00000000,c9,00,01
487,487,0,0,300060,00000000,c9,00,01
488,488,0,0,300060,00000000,c9,00,01
489,489,0,0,300060,00000000,c9,00,01
490,490,0,0,300060,00000000,c9,00,01
491,491,0,0,300060,00000000,c9,00,01
492,492,0,0,300060,00000000,c9,00,01
493,493,0,0,300060,00000000,c9,00,01
494,494,0,0,300060,00000000,c9,00,01
495,495,0,0,300060,00000000,c9,00,01
496,496,0,0,300060,00000000,c9,00,01
497,497,0,0,300060,00000000,c9,00,01
498,498,0,0,300060,00000000,c9,00,01
499,499,0,0,300060,00000000,c9,00,01
500,500,0,0,300060,00000000,c9,00,01
